product_id,category,price,promotion_active,discount_percent,units_sold,inventory_level,day_of_week,day,month,year
1545,Electronics,166,Yes,0,17,239,Sunday,20,6,2024
1705,Home,1977,Yes,20,52,481,Saturday,13,8,2024
1851,Electronics,2421,Yes,5,41,244,Friday,14,10,2024
1213,Electronics,2191,No,0,39,179,Saturday,4,6,2024
1548,Personal Care,2281,No,0,17,313,Thursday,28,2,2024
1939,Personal Care,70,No,0,2,34,Friday,24,7,2024
1953,Home,2355,Yes,15,28,67,Saturday,2,10,2024
1130,Home,1744,No,0,35,157,Tuesday,22,6,2024
1030,Electronics,2001,No,0,31,75,Tuesday,13,5,2024
1703,Clothing,2925,Yes,0,19,119,Tuesday,25,5,2024
1596,Personal Care,1505,Yes,20,40,275,Monday,3,3,2024
1023,Home,2603,No,0,38,387,Tuesday,11,7,2024
1223,Electronics,2218,Yes,20,53,124,Sunday,28,9,2024
1323,Clothing,2273,Yes,5,38,488,Saturday,4,11,2024
1135,Clothing,847,Yes,5,14,474,Monday,15,2,2024
1129,Home,1638,Yes,15,42,446,Thursday,12,4,2024
1118,Personal Care,2622,Yes,0,27,122,Friday,26,12,2024
1493,Grocery,2649,No,0,27,277,Saturday,24,2,2024
1208,Electronics,203,No,0,16,95,Tuesday,29,3,2024
1783,Clothing,1209,Yes,20,38,51,Tuesday,19,2,2024
1215,Clothing,1651,No,0,27,238,Friday,3,11,2024
1757,Home,104,Yes,5,35,112,Thursday,8,7,2024
1914,Home,849,Yes,0,15,282,Sunday,13,2,2024
1933,Electronics,2383,Yes,20,25,319,Wednesday,29,2,2024
1442,Home,1711,Yes,10,30,470,Friday,2,4,2024
1103,Clothing,897,Yes,0,24,428,Wednesday,6,1,2024
1221,Home,2666,Yes,5,35,159,Saturday,3,12,2024
1657,Grocery,2382,Yes,20,41,59,Thursday,19,4,2024
1454,Personal Care,1669,Yes,0,20,335,Monday,24,7,2024
1256,Clothing,256,Yes,30,17,212,Monday,21,5,2024
1455,Grocery,2303,No,0,11,286,Friday,26,11,2024
1993,Home,2300,Yes,15,32,496,Tuesday,27,3,2024
1408,Clothing,2269,Yes,15,26,273,Thursday,2,11,2024
1951,Clothing,1547,No,0,32,267,Saturday,25,5,2024
1772,Home,160,Yes,5,16,319,Monday,16,12,2024
1740,Grocery,266,No,0,8,403,Thursday,12,6,2024
1249,Personal Care,966,No,0,21,388,Thursday,24,1,2024
1723,Grocery,453,No,0,30,93,Sunday,28,2,2024
1365,Electronics,2606,No,0,18,253,Monday,27,9,2024
1615,Personal Care,559,No,0,31,246,Tuesday,14,5,2024
1975,Electronics,2843,No,0,48,206,Sunday,28,5,2024
1639,Clothing,1026,No,0,24,78,Friday,2,7,2024
1974,Personal Care,1162,Yes,30,36,162,Sunday,7,5,2024
1277,Home,2724,Yes,30,19,40,Saturday,12,5,2024
1773,Electronics,160,Yes,0,22,133,Friday,14,2,2024
1215,Clothing,2305,Yes,30,41,211,Thursday,22,6,2024
1858,Home,2075,Yes,0,33,430,Monday,19,4,2024
1157,Personal Care,1788,No,0,24,219,Sunday,30,11,2024
1669,Personal Care,1382,No,0,26,300,Sunday,8,7,2024
1085,Personal Care,447,No,0,10,468,Wednesday,9,8,2024
1843,Grocery,2376,No,0,44,437,Saturday,5,1,2024
1742,Clothing,1320,Yes,30,30,329,Monday,21,12,2024
1928,Clothing,1208,Yes,5,36,203,Saturday,1,3,2024
1542,Home,2955,No,0,22,311,Friday,5,6,2024
1086,Clothing,1350,Yes,15,51,498,Saturday,4,7,2024
1756,Clothing,148,No,0,29,366,Thursday,15,10,2024
1777,Clothing,1648,Yes,20,20,308,Tuesday,20,8,2024
1302,Home,141,Yes,20,14,49,Friday,12,1,2024
1083,Grocery,312,No,0,10,423,Friday,20,5,2024
1763,Home,1335,Yes,0,24,344,Saturday,28,11,2024
1470,Clothing,1055,Yes,15,29,411,Friday,20,7,2024
1550,Personal Care,1433,No,0,36,364,Tuesday,7,2,2024
1825,Grocery,239,No,0,37,407,Sunday,12,7,2024
1431,Electronics,1953,Yes,20,19,205,Saturday,3,8,2024
1209,Home,1056,Yes,30,31,212,Saturday,18,7,2024
1748,Clothing,2217,No,0,35,160,Monday,28,2,2024
1598,Grocery,2704,Yes,5,35,487,Monday,3,9,2024
1241,Home,1330,Yes,5,19,114,Wednesday,3,11,2024
1932,Personal Care,2486,Yes,15,33,114,Wednesday,8,6,2024
1936,Personal Care,2304,No,0,36,456,Wednesday,24,6,2024
1222,Home,428,No,0,30,461,Tuesday,9,3,2024
1895,Clothing,2210,No,0,20,423,Monday,29,8,2024
1160,Electronics,1893,Yes,30,21,235,Friday,13,6,2024
1547,Electronics,1112,Yes,30,28,399,Friday,28,1,2024
1084,Clothing,2392,Yes,0,24,124,Sunday,29,6,2024
1600,Personal Care,2568,Yes,15,13,375,Thursday,5,10,2024
1213,Personal Care,1293,Yes,5,11,233,Tuesday,20,1,2024
1318,Grocery,1742,No,0,34,100,Sunday,26,7,2024
1076,Electronics,2328,No,0,19,259,Saturday,17,12,2024
1455,Home,483,No,0,12,366,Thursday,7,1,2024
1790,Electronics,2965,No,0,12,141,Wednesday,6,1,2024
1305,Home,2573,Yes,10,41,341,Thursday,21,6,2024
1112,Clothing,2325,Yes,10,31,116,Tuesday,17,6,2024
1846,Grocery,1171,No,0,36,390,Saturday,14,7,2024
1197,Grocery,467,Yes,20,20,68,Tuesday,24,7,2024
1444,Grocery,1947,Yes,0,15,136,Monday,27,7,2024
1210,Home,1449,No,0,13,494,Friday,16,3,2024
1410,Clothing,2027,No,0,5,491,Thursday,9,11,2024
1666,Grocery,1053,Yes,10,28,189,Tuesday,13,8,2024
1844,Personal Care,2332,No,0,26,124,Friday,22,2,2024
1239,Personal Care,2972,Yes,10,26,412,Friday,29,6,2024
1723,Personal Care,2099,Yes,20,42,385,Tuesday,10,4,2024
1427,Clothing,159,Yes,0,35,89,Tuesday,22,12,2024
1996,Electronics,1398,Yes,10,14,156,Thursday,10,3,2024
1918,Personal Care,2381,Yes,20,19,488,Wednesday,20,6,2024
1776,Clothing,646,Yes,0,38,167,Saturday,20,10,2024
1032,Electronics,729,Yes,20,23,300,Sunday,25,7,2024
1606,Grocery,2746,Yes,10,41,407,Saturday,23,11,2024
1395,Personal Care,699,Yes,15,17,259,Monday,1,3,2024
1581,Grocery,1711,Yes,10,23,286,Tuesday,19,6,2024
1982,Personal Care,2678,Yes,30,30,363,Sunday,11,9,2024
1288,Home,469,No,0,31,196,Thursday,5,9,2024
1117,Clothing,2877,No,0,12,442,Thursday,26,9,2024
1303,Home,2200,No,0,25,235,Monday,11,11,2024
1898,Electronics,1592,No,0,34,404,Sunday,5,2,2024
1487,Grocery,559,No,0,30,144,Friday,21,12,2024
1900,Clothing,2205,Yes,20,44,176,Saturday,5,2,2024
1665,Personal Care,2287,No,0,25,308,Sunday,3,8,2024
1903,Personal Care,552,Yes,0,23,286,Sunday,2,10,2024
1332,Grocery,1906,Yes,10,36,144,Saturday,29,3,2024
1365,Personal Care,1855,No,0,30,437,Friday,20,12,2024
1332,Electronics,995,Yes,10,22,35,Thursday,12,9,2024
1323,Home,1985,Yes,5,19,171,Sunday,30,6,2024
1545,Electronics,115,Yes,30,56,470,Saturday,19,11,2024
1890,Electronics,834,Yes,30,31,74,Wednesday,3,8,2024
1882,Grocery,1421,No,0,15,232,Monday,6,6,2024
1680,Clothing,2960,Yes,10,32,112,Saturday,31,5,2024
1683,Clothing,1575,Yes,20,28,284,Tuesday,25,4,2024
1543,Grocery,592,Yes,15,41,59,Thursday,24,1,2024
1089,Clothing,2506,No,0,32,295,Wednesday,25,3,2024
1190,Grocery,826,Yes,5,51,162,Saturday,18,3,2024
1951,Grocery,2597,No,0,39,489,Sunday,12,9,2024
1674,Grocery,786,Yes,20,42,417,Saturday,4,9,2024
1974,Electronics,2166,No,0,48,278,Sunday,29,9,2024
1451,Clothing,2482,Yes,0,20,331,Thursday,7,10,2024
1617,Clothing,2983,Yes,10,21,270,Friday,12,9,2024
1332,Personal Care,194,Yes,20,37,385,Monday,18,3,2024
1740,Grocery,122,No,0,37,432,Thursday,14,5,2024
1810,Personal Care,347,Yes,5,50,311,Saturday,1,5,2024
1756,Clothing,648,Yes,10,27,237,Monday,26,9,2024
1387,Electronics,2461,No,0,47,65,Saturday,10,5,2024
1323,Home,704,No,0,44,373,Saturday,29,7,2024
1779,Electronics,1542,Yes,30,37,41,Tuesday,3,11,2024
1246,Personal Care,642,No,0,17,287,Saturday,28,7,2024
1958,Grocery,629,Yes,15,38,304,Wednesday,9,2,2024
1428,Grocery,2834,Yes,10,42,149,Monday,24,8,2024
1164,Personal Care,980,No,0,18,178,Wednesday,25,7,2024
1880,Electronics,2711,Yes,30,22,195,Friday,20,7,2024
1355,Electronics,1611,No,0,18,420,Monday,6,5,2024
1478,Home,2300,Yes,15,21,124,Thursday,6,6,2024
1209,Home,1881,No,0,26,340,Saturday,3,10,2024
1635,Personal Care,1766,Yes,0,28,373,Wednesday,10,1,2024
1105,Grocery,795,No,0,18,282,Thursday,3,7,2024
1859,Grocery,678,No,0,30,90,Sunday,2,3,2024
1262,Grocery,1369,No,0,29,250,Monday,22,9,2024
1192,Personal Care,1287,No,0,36,331,Tuesday,18,3,2024
1490,Electronics,2488,Yes,0,31,126,Wednesday,5,10,2024
1386,Electronics,2167,No,0,43,180,Saturday,16,3,2024
1886,Electronics,1198,No,0,29,227,Tuesday,1,7,2024
1041,Home,470,No,0,18,209,Wednesday,13,1,2024
1571,Clothing,2368,Yes,30,25,172,Saturday,18,12,2024
1818,Grocery,2780,Yes,10,33,140,Sunday,6,8,2024
1291,Clothing,1657,No,0,29,50,Thursday,11,9,2024
1681,Electronics,957,Yes,15,18,123,Thursday,30,12,2024
1596,Personal Care,2181,Yes,30,20,195,Thursday,11,5,2024
1278,Home,1313,Yes,15,12,81,Wednesday,28,1,2024
1074,Grocery,2079,No,0,35,260,Saturday,13,1,2024
1834,Electronics,1471,No,0,24,476,Wednesday,8,12,2024
1031,Electronics,2680,No,0,26,216,Friday,21,10,2024
1282,Home,359,Yes,20,35,297,Thursday,4,2,2024
1699,Clothing,1891,No,0,7,485,Thursday,16,9,2024
1619,Clothing,1314,No,0,6,204,Thursday,8,4,2024
1000,Home,985,No,0,20,368,Tuesday,5,10,2024
1639,Clothing,64,Yes,20,54,272,Sunday,14,10,2024
1212,Home,1131,No,0,25,73,Monday,22,12,2024
1636,Home,2862,Yes,5,16,442,Tuesday,18,12,2024
1766,Personal Care,2359,No,0,23,209,Thursday,8,12,2024
1182,Electronics,2091,Yes,30,31,147,Wednesday,20,9,2024
1869,Personal Care,309,Yes,0,34,473,Saturday,19,8,2024
1054,Clothing,2832,No,0,26,40,Tuesday,25,6,2024
1732,Clothing,1677,No,0,31,149,Saturday,15,12,2024
1848,Personal Care,801,No,0,28,458,Sunday,7,3,2024
1128,Home,1772,Yes,20,36,399,Sunday,12,4,2024
1483,Electronics,2594,No,0,26,138,Saturday,26,10,2024
1955,Electronics,1147,No,0,30,234,Wednesday,13,12,2024
1292,Personal Care,249,Yes,30,23,80,Sunday,1,7,2024
1175,Grocery,542,No,0,39,188,Monday,10,7,2024
1401,Home,1316,No,0,33,429,Sunday,12,11,2024
1289,Home,631,No,0,28,365,Saturday,16,3,2024
1123,Clothing,767,Yes,20,40,497,Wednesday,18,3,2024
1640,Clothing,128,No,0,14,309,Friday,23,7,2024
1265,Grocery,1369,Yes,0,28,266,Tuesday,13,10,2024
1080,Electronics,671,Yes,0,34,477,Sunday,3,1,2024
1495,Home,1427,No,0,27,91,Sunday,17,1,2024
1631,Personal Care,1489,No,0,18,305,Monday,2,12,2024
1584,Electronics,1083,No,0,20,116,Wednesday,25,1,2024
1367,Personal Care,159,Yes,20,23,80,Saturday,13,1,2024
1982,Grocery,1319,Yes,20,22,258,Monday,5,7,2024
1315,Grocery,2209,No,0,36,434,Tuesday,29,9,2024
1920,Grocery,2024,No,0,41,450,Saturday,15,11,2024
1672,Clothing,88,Yes,5,29,185,Thursday,21,5,2024
1926,Clothing,2617,No,0,22,201,Wednesday,30,11,2024
1048,Personal Care,2483,Yes,10,18,191,Tuesday,7,3,2024
1381,Electronics,1297,Yes,5,15,197,Monday,28,6,2024
1097,Personal Care,1814,Yes,0,8,224,Friday,13,6,2024
1329,Home,888,Yes,5,12,184,Monday,8,8,2024
1071,Home,949,No,0,26,229,Sunday,12,12,2024
1649,Home,1369,Yes,10,16,288,Monday,5,12,2024
1876,Home,2687,Yes,5,28,335,Friday,31,12,2024
1681,Home,2117,Yes,0,44,448,Saturday,27,8,2024
1942,Personal Care,1625,Yes,15,10,327,Friday,17,1,2024
1055,Electronics,2619,No,0,7,248,Wednesday,15,6,2024
1754,Personal Care,2249,No,0,25,188,Wednesday,28,8,2024
1191,Electronics,1696,Yes,5,13,405,Thursday,28,11,2024
1890,Clothing,519,Yes,20,13,148,Wednesday,20,1,2024
1886,Electronics,1076,No,0,39,252,Tuesday,6,8,2024
1568,Home,2053,No,0,9,349,Tuesday,13,8,2024
1815,Clothing,1040,Yes,15,43,457,Monday,18,3,2024
1120,Electronics,781,Yes,10,16,38,Wednesday,1,8,2024
1073,Electronics,2566,No,0,35,35,Sunday,15,2,2024
1684,Home,2230,No,0,27,468,Saturday,8,8,2024
1617,Electronics,112,No,0,22,378,Wednesday,16,4,2024
1132,Grocery,790,Yes,5,35,375,Friday,22,5,2024
1200,Grocery,1109,No,0,27,332,Friday,5,1,2024
1418,Electronics,2883,Yes,30,30,387,Wednesday,12,4,2024
1467,Personal Care,342,No,0,31,237,Wednesday,9,3,2024
1504,Grocery,556,Yes,10,43,283,Saturday,23,10,2024
1956,Home,1216,Yes,10,36,457,Monday,1,9,2024
1065,Home,863,No,0,33,327,Tuesday,6,7,2024
1677,Grocery,1415,No,0,22,319,Thursday,21,12,2024
1916,Home,2802,Yes,0,13,230,Wednesday,8,5,2024
1673,Home,1772,No,0,11,194,Monday,20,2,2024
1604,Clothing,907,Yes,10,3,28,Wednesday,8,12,2024
1517,Home,145,Yes,15,18,57,Wednesday,10,6,2024
1848,Personal Care,2797,Yes,5,30,30,Sunday,27,4,2024
1954,Personal Care,2921,Yes,0,30,54,Thursday,21,4,2024
1404,Grocery,2443,Yes,15,27,209,Sunday,19,2,2024
1830,Grocery,64,Yes,30,27,376,Friday,30,8,2024
1967,Grocery,1824,No,0,28,99,Monday,13,1,2024
1794,Clothing,1488,No,0,39,294,Friday,18,2,2024
1090,Personal Care,2127,Yes,0,13,310,Tuesday,17,9,2024
1604,Home,1313,No,0,30,200,Sunday,30,7,2024
1470,Grocery,272,Yes,20,44,251,Tuesday,11,3,2024
1632,Grocery,2113,Yes,5,17,308,Friday,9,11,2024
1754,Home,1743,Yes,5,23,98,Sunday,30,12,2024
1112,Clothing,691,No,0,6,291,Friday,9,9,2024
1267,Grocery,2274,Yes,15,13,233,Wednesday,1,10,2024
1907,Electronics,2741,No,0,18,188,Thursday,13,10,2024
1614,Electronics,2376,Yes,15,25,340,Wednesday,12,5,2024
1664,Clothing,1556,Yes,15,32,425,Thursday,8,8,2024
1167,Home,1896,Yes,0,48,179,Sunday,27,9,2024
1101,Clothing,2292,No,0,29,224,Sunday,31,12,2024
1767,Home,182,No,0,19,204,Thursday,26,9,2024
1704,Clothing,86,No,0,11,228,Friday,30,10,2024
1214,Personal Care,1058,No,0,38,326,Saturday,7,11,2024
1776,Grocery,279,No,0,12,114,Thursday,25,6,2024
1880,Home,430,Yes,10,34,321,Wednesday,10,7,2024
1406,Clothing,417,No,0,21,312,Saturday,25,4,2024
1657,Grocery,1394,Yes,10,26,96,Sunday,24,5,2024
1949,Grocery,2058,Yes,15,43,339,Monday,23,6,2024
1343,Grocery,2577,Yes,20,39,299,Monday,13,12,2024
1775,Home,756,Yes,15,26,370,Sunday,17,8,2024
1979,Personal Care,533,No,0,19,183,Saturday,1,7,2024
1976,Personal Care,2966,Yes,30,30,80,Thursday,30,11,2024
1859,Electronics,516,Yes,0,39,232,Wednesday,4,3,2024
1205,Home,1172,No,0,32,228,Monday,11,12,2024
1797,Grocery,2071,No,0,39,373,Sunday,3,9,2024
1843,Clothing,2300,Yes,20,9,185,Tuesday,24,3,2024
1789,Electronics,1594,No,0,34,251,Friday,25,10,2024
1647,Clothing,2018,No,0,36,187,Monday,13,5,2024
1249,Home,1732,Yes,10,23,491,Monday,19,4,2024
1396,Grocery,2579,Yes,20,42,112,Thursday,6,9,2024
1867,Grocery,997,Yes,20,38,72,Saturday,17,3,2024
1341,Electronics,2910,No,0,40,310,Tuesday,7,9,2024
1802,Electronics,1879,No,0,11,432,Wednesday,20,3,2024
1172,Clothing,866,No,0,17,81,Tuesday,7,7,2024
1255,Grocery,1541,Yes,30,27,433,Wednesday,2,7,2024
1574,Clothing,756,No,0,23,361,Wednesday,8,3,2024
1155,Electronics,2036,Yes,10,19,34,Wednesday,18,7,2024
1768,Personal Care,2279,Yes,20,19,65,Friday,3,12,2024
1371,Personal Care,2665,No,0,32,176,Monday,29,11,2024
1746,Personal Care,1006,No,0,38,251,Saturday,20,4,2024
1112,Grocery,1158,No,0,9,473,Tuesday,21,10,2024
1376,Clothing,1288,Yes,0,12,497,Friday,7,6,2024
1423,Electronics,626,Yes,30,20,360,Monday,19,10,2024
1539,Clothing,2856,Yes,15,29,289,Saturday,21,12,2024
1142,Electronics,2558,No,0,11,493,Tuesday,5,9,2024
1138,Clothing,372,No,0,35,35,Friday,2,6,2024
1879,Grocery,1424,Yes,30,45,159,Tuesday,6,8,2024
1088,Electronics,2544,No,0,25,427,Friday,22,9,2024
1424,Electronics,180,Yes,0,34,172,Sunday,17,1,2024
1853,Home,813,Yes,0,18,210,Monday,28,4,2024
1920,Clothing,1485,No,0,30,132,Wednesday,3,5,2024
1691,Home,245,No,0,36,289,Saturday,29,6,2024
1259,Home,2718,Yes,15,17,109,Tuesday,19,8,2024
1535,Clothing,954,No,0,21,114,Tuesday,21,10,2024
1521,Electronics,2398,Yes,5,10,179,Tuesday,17,6,2024
1781,Electronics,2811,Yes,5,11,296,Monday,14,9,2024
1685,Grocery,1858,Yes,0,13,232,Friday,1,7,2024
1809,Home,349,No,0,19,89,Thursday,15,4,2024
1033,Grocery,1225,Yes,15,11,438,Monday,13,7,2024
1983,Clothing,1790,Yes,5,16,54,Tuesday,25,4,2024
1197,Electronics,1450,Yes,5,36,92,Sunday,1,5,2024
1381,Clothing,2923,Yes,30,50,473,Saturday,2,3,2024
1314,Electronics,649,Yes,5,9,391,Wednesday,13,6,2024
1453,Clothing,2435,Yes,10,41,289,Friday,26,9,2024
1998,Personal Care,427,Yes,30,15,134,Monday,12,12,2024
1495,Home,811,Yes,10,13,346,Friday,2,11,2024
1966,Grocery,1484,No,0,17,258,Monday,28,8,2024
1046,Home,1847,No,0,23,298,Monday,29,3,2024
1668,Home,916,Yes,0,36,132,Thursday,2,2,2024
1344,Personal Care,150,Yes,10,21,27,Tuesday,13,5,2024
1760,Electronics,2351,No,0,21,372,Thursday,11,6,2024
1553,Home,1510,Yes,20,35,317,Friday,27,10,2024
1958,Electronics,1100,No,0,19,487,Thursday,14,11,2024
1568,Home,1968,No,0,25,411,Tuesday,25,10,2024
1703,Clothing,695,No,0,21,165,Saturday,2,1,2024
1388,Grocery,2013,Yes,15,50,401,Sunday,17,12,2024
1867,Personal Care,2764,No,0,36,225,Wednesday,19,11,2024
1656,Grocery,1943,Yes,0,35,183,Thursday,14,3,2024
1240,Home,1197,No,0,17,45,Monday,25,10,2024
1436,Personal Care,220,No,0,47,119,Saturday,29,6,2024
1323,Personal Care,288,Yes,15,17,459,Thursday,6,12,2024
1854,Clothing,2110,No,0,18,494,Tuesday,16,8,2024
1820,Grocery,2785,Yes,30,38,146,Sunday,31,3,2024
1979,Clothing,1998,No,0,7,385,Tuesday,19,9,2024
1163,Clothing,1978,No,0,19,497,Saturday,26,2,2024
1710,Personal Care,1229,No,0,16,179,Wednesday,13,5,2024
1888,Home,2708,Yes,30,24,392,Saturday,27,7,2024
1393,Clothing,60,No,0,46,272,Saturday,30,12,2024
1669,Grocery,210,Yes,5,30,275,Sunday,12,11,2024
1707,Grocery,2894,Yes,20,38,240,Wednesday,5,4,2024
1336,Grocery,2703,No,0,21,371,Sunday,28,1,2024
1111,Electronics,1240,No,0,18,257,Sunday,23,5,2024
1548,Home,2190,No,0,11,53,Monday,26,1,2024
1444,Home,2205,Yes,10,30,122,Friday,16,6,2024
1880,Personal Care,336,No,0,18,46,Wednesday,23,11,2024
1124,Home,1747,Yes,15,38,491,Tuesday,7,8,2024
1946,Clothing,1999,No,0,50,410,Saturday,13,9,2024
1186,Personal Care,2451,No,0,5,26,Friday,30,1,2024
1785,Grocery,665,Yes,20,39,159,Sunday,27,11,2024
1198,Grocery,2941,Yes,15,14,51,Thursday,9,5,2024
1435,Personal Care,2304,Yes,0,33,157,Thursday,12,9,2024
1884,Home,1052,No,0,30,437,Saturday,11,11,2024
1584,Home,240,Yes,30,26,308,Tuesday,30,8,2024
1479,Grocery,118,No,0,40,57,Saturday,12,11,2024
1122,Clothing,901,Yes,30,31,269,Friday,20,6,2024
1408,Clothing,140,Yes,30,37,280,Friday,8,4,2024
1678,Electronics,188,Yes,30,24,157,Thursday,11,8,2024
1893,Personal Care,1905,No,0,6,181,Tuesday,4,6,2024
1675,Personal Care,414,No,0,40,396,Thursday,11,7,2024
1618,Home,1694,Yes,30,25,136,Wednesday,2,11,2024
1600,Personal Care,1832,Yes,30,16,172,Tuesday,23,6,2024
1784,Clothing,2965,No,0,28,28,Sunday,6,8,2024
1978,Home,419,No,0,40,133,Sunday,10,4,2024
1400,Personal Care,294,No,0,18,318,Monday,4,2,2024
1262,Personal Care,2966,No,0,35,402,Wednesday,27,12,2024
1521,Clothing,1719,Yes,0,35,89,Sunday,12,1,2024
1944,Home,2373,No,0,25,290,Thursday,16,11,2024
1148,Personal Care,2766,No,0,41,168,Sunday,20,2,2024
1583,Clothing,247,No,0,40,256,Friday,12,1,2024
1307,Electronics,1494,No,0,9,408,Monday,6,10,2024
1280,Clothing,2877,No,0,29,444,Tuesday,15,3,2024
1807,Personal Care,2418,Yes,20,34,211,Thursday,8,6,2024
1813,Electronics,1072,Yes,5,6,33,Monday,14,1,2024
1838,Clothing,1132,Yes,15,14,49,Saturday,29,5,2024
1866,Clothing,915,No,0,26,378,Wednesday,30,8,2024
1517,Electronics,163,No,0,33,489,Sunday,2,7,2024
1987,Home,2297,Yes,20,18,337,Wednesday,23,6,2024
1363,Clothing,1816,Yes,5,16,488,Friday,5,11,2024
1373,Electronics,935,No,0,29,466,Sunday,31,1,2024
1025,Clothing,2069,Yes,30,45,401,Monday,18,2,2024
1064,Home,231,No,0,39,409,Thursday,22,2,2024
1694,Grocery,135,Yes,20,18,159,Monday,14,6,2024
1255,Grocery,1964,No,0,6,133,Friday,3,7,2024
1372,Home,1069,No,0,5,173,Wednesday,7,6,2024
1480,Personal Care,2474,Yes,10,17,108,Monday,12,12,2024
1735,Electronics,827,No,0,43,299,Sunday,13,9,2024
1454,Personal Care,1742,No,0,21,205,Friday,27,9,2024
1032,Grocery,2233,Yes,10,21,31,Wednesday,27,11,2024
1889,Home,2590,No,0,17,166,Friday,12,10,2024
1513,Electronics,2883,No,0,10,401,Thursday,10,10,2024
1556,Personal Care,2426,Yes,0,39,76,Tuesday,6,8,2024
1365,Personal Care,2327,No,0,28,39,Sunday,8,2,2024
1575,Personal Care,511,Yes,5,13,428,Thursday,10,8,2024
1762,Home,2289,Yes,20,13,383,Tuesday,4,5,2024
1943,Personal Care,937,No,0,26,353,Friday,19,11,2024
1074,Clothing,123,Yes,5,29,389,Saturday,4,5,2024
1192,Electronics,1417,Yes,20,20,287,Monday,24,4,2024
1649,Electronics,284,No,0,18,37,Saturday,16,1,2024
1650,Personal Care,1989,No,0,16,432,Wednesday,28,2,2024
1732,Electronics,77,Yes,20,25,175,Thursday,27,11,2024
1285,Electronics,1751,No,0,20,355,Monday,18,5,2024
1296,Grocery,2812,Yes,0,20,148,Tuesday,6,12,2024
1007,Home,2645,No,0,35,498,Saturday,31,1,2024
1119,Clothing,2065,No,0,21,82,Friday,15,1,2024
1965,Personal Care,2544,No,0,29,305,Wednesday,30,10,2024
1194,Grocery,788,Yes,20,19,25,Thursday,5,9,2024
1864,Personal Care,369,Yes,5,35,117,Thursday,11,8,2024
1151,Electronics,1588,Yes,10,29,389,Monday,21,5,2024
1088,Grocery,2569,Yes,0,39,143,Saturday,31,12,2024
1115,Clothing,618,No,0,17,328,Sunday,27,4,2024
1655,Electronics,787,Yes,15,20,77,Thursday,24,9,2024
1387,Personal Care,339,Yes,20,35,425,Thursday,17,10,2024
1629,Electronics,444,No,0,19,22,Thursday,15,1,2024
